,Class
3795,Non Abusive
12245,Non Abusive
7991,Non Abusive
18709,Non Abusive
18321,Non Abusive
1219,Abusive
8688,Non Abusive
10748,Non Abusive
20964,Non Abusive
20697,Non Abusive
12269,Non Abusive
1520,Abusive
2502,Abusive
703,Abusive
17025,Non Abusive
12748,Non Abusive
23589,Non Abusive
25529,Non Abusive
13469,Non Abusive
3249,Abusive
1290,Abusive
5930,Non Abusive
6469,Non Abusive
5101,Non Abusive
13448,Non Abusive
19314,Non Abusive
17808,Non Abusive
596,Abusive
1071,Abusive
25611,Non Abusive
4123,Non Abusive
21941,Non Abusive
2590,Abusive
23477,Non Abusive
6967,Non Abusive
2221,Abusive
25153,Non Abusive
10573,Non Abusive
1035,Abusive
24302,Non Abusive
25790,Non Abusive
22752,Non Abusive
15731,Non Abusive
3783,Non Abusive
11954,Non Abusive
6402,Non Abusive
1245,Abusive
19573,Non Abusive
21172,Non Abusive
18992,Non Abusive
1017,Abusive
23529,Non Abusive
24001,Non Abusive
1275,Abusive
16968,Non Abusive
20305,Non Abusive
19536,Non Abusive
8718,Non Abusive
10342,Non Abusive
22825,Non Abusive
17356,Non Abusive
21522,Non Abusive
23277,Non Abusive
11726,Non Abusive
23581,Non Abusive
8842,Non Abusive
16914,Non Abusive
2948,Abusive
7602,Non Abusive
7184,Non Abusive
5796,Non Abusive
11222,Non Abusive
22164,Non Abusive
19944,Non Abusive
19556,Non Abusive
2397,Abusive
6605,Non Abusive
20057,Non Abusive
16162,Non Abusive
14166,Non Abusive
22761,Non Abusive
11389,Non Abusive
19981,Non Abusive
19338,Non Abusive
24316,Non Abusive
1037,Abusive
19353,Non Abusive
5726,Non Abusive
15076,Non Abusive
2063,Abusive
14120,Non Abusive
6607,Non Abusive
21308,Non Abusive
18991,Non Abusive
12255,Non Abusive
18206,Non Abusive
24827,Non Abusive
14600,Non Abusive
20327,Non Abusive
10968,Non Abusive
22174,Non Abusive
25229,Non Abusive
13690,Non Abusive
7009,Non Abusive
23349,Non Abusive
1,Abusive
5844,Non Abusive
4463,Non Abusive
21799,Non Abusive
25799,Non Abusive
21069,Non Abusive
12472,Non Abusive
8530,Non Abusive
6412,Non Abusive
20531,Non Abusive
13005,Non Abusive
23409,Non Abusive
18575,Non Abusive
14485,Non Abusive
15830,Non Abusive
2480,Abusive
25175,Non Abusive
3498,Non Abusive
3045,Abusive
11704,Non Abusive
124,Abusive
22785,Non Abusive
13447,Non Abusive
10659,Non Abusive
18654,Non Abusive
20044,Non Abusive
16729,Non Abusive
25202,Non Abusive
17970,Non Abusive
3577,Non Abusive
541,Abusive
12941,Non Abusive
17577,Non Abusive
3635,Non Abusive
25648,Non Abusive
803,Abusive
8454,Non Abusive
26082,Non Abusive
9412,Non Abusive
1338,Abusive
20731,Non Abusive
4319,Non Abusive
2495,Abusive
15990,Non Abusive
16019,Non Abusive
12591,Non Abusive
21022,Non Abusive
20907,Non Abusive
20089,Non Abusive
10805,Non Abusive
24903,Non Abusive
298,Abusive
12302,Non Abusive
856,Abusive
17039,Non Abusive
8907,Non Abusive
17521,Non Abusive
5594,Non Abusive
11655,Non Abusive
15982,Non Abusive
17993,Non Abusive
11595,Non Abusive
16571,Non Abusive
22874,Non Abusive
10133,Non Abusive
19704,Non Abusive
4830,Non Abusive
15762,Non Abusive
16219,Non Abusive
6087,Non Abusive
13543,Non Abusive
13176,Non Abusive
25596,Non Abusive
6474,Non Abusive
16132,Non Abusive
6260,Non Abusive
24249,Non Abusive
18556,Non Abusive
18771,Non Abusive
15259,Non Abusive
18471,Non Abusive
14582,Non Abusive
8420,Non Abusive
1956,Abusive
14384,Non Abusive
6593,Non Abusive
18071,Non Abusive
12768,Non Abusive
22301,Non Abusive
7793,Non Abusive
19051,Non Abusive
7609,Non Abusive
15886,Non Abusive
1126,Abusive
16609,Non Abusive
12816,Non Abusive
1993,Abusive
21200,Non Abusive
1358,Abusive
6249,Non Abusive
9601,Non Abusive
7650,Non Abusive
6186,Non Abusive
12164,Non Abusive
23108,Non Abusive
3936,Non Abusive
632,Abusive
18917,Non Abusive
24647,Non Abusive
12440,Non Abusive
20994,Non Abusive
4530,Non Abusive
26214,Non Abusive
23779,Non Abusive
8328,Non Abusive
20361,Non Abusive
22230,Non Abusive
10666,Non Abusive
274,Abusive
12863,Non Abusive
18051,Non Abusive
13215,Non Abusive
8475,Non Abusive
4583,Non Abusive
9336,Non Abusive
12022,Non Abusive
12947,Non Abusive
2424,Abusive
20865,Non Abusive
25111,Non Abusive
20887,Non Abusive
2177,Abusive
20221,Non Abusive
24599,Non Abusive
25071,Non Abusive
25513,Non Abusive
12841,Non Abusive
14805,Non Abusive
15574,Non Abusive
4130,Non Abusive
2141,Abusive
2228,Abusive
7618,Non Abusive
15770,Non Abusive
7821,Non Abusive
7829,Non Abusive
8287,Non Abusive
20782,Non Abusive
25410,Non Abusive
1333,Abusive
24107,Non Abusive
12341,Non Abusive
24947,Non Abusive
22218,Non Abusive
22398,Non Abusive
6699,Non Abusive
16783,Non Abusive
5148,Non Abusive
23064,Non Abusive
22622,Non Abusive
16010,Non Abusive
9571,Non Abusive
10272,Non Abusive
767,Abusive
10892,Non Abusive
5573,Non Abusive
11810,Non Abusive
25004,Non Abusive
20956,Non Abusive
7422,Non Abusive
20665,Non Abusive
14112,Non Abusive
19659,Non Abusive
7166,Non Abusive
23507,Non Abusive
4253,Non Abusive
20210,Non Abusive
1431,Abusive
13689,Non Abusive
22243,Non Abusive
25285,Non Abusive
20166,Non Abusive
6577,Non Abusive
6143,Non Abusive
17353,Non Abusive
6043,Non Abusive
18852,Non Abusive
16254,Non Abusive
19152,Non Abusive
1124,Abusive
6111,Non Abusive
26030,Non Abusive
12170,Non Abusive
1385,Abusive
17710,Non Abusive
18816,Non Abusive
13268,Non Abusive
25591,Non Abusive
8932,Non Abusive
16519,Non Abusive
4921,Non Abusive
13452,Non Abusive
23316,Non Abusive
15619,Non Abusive
4234,Non Abusive
19629,Non Abusive
11863,Non Abusive
4635,Non Abusive
10614,Non Abusive
19787,Non Abusive
291,Abusive
24352,Non Abusive
14890,Non Abusive
2943,Abusive
8748,Non Abusive
7243,Non Abusive
12041,Non Abusive
25003,Non Abusive
21023,Non Abusive
14455,Non Abusive
6774,Non Abusive
12069,Non Abusive
8164,Non Abusive
14746,Non Abusive
1988,Abusive
8428,Non Abusive
18579,Non Abusive
23696,Non Abusive
818,Abusive
26150,Non Abusive
23923,Non Abusive
3343,Abusive
4977,Non Abusive
7226,Non Abusive
24926,Non Abusive
5122,Non Abusive
3090,Abusive
14818,Non Abusive
13341,Non Abusive
19439,Non Abusive
24220,Non Abusive
2815,Abusive
12985,Non Abusive
25680,Non Abusive
23822,Non Abusive
2883,Abusive
7724,Non Abusive
13161,Non Abusive
7833,Non Abusive
3335,Abusive
13483,Non Abusive
20844,Non Abusive
25122,Non Abusive
4740,Non Abusive
19940,Non Abusive
19848,Non Abusive
20217,Non Abusive
4693,Non Abusive
20051,Non Abusive
6988,Non Abusive
23972,Non Abusive
8360,Non Abusive
24694,Non Abusive
14288,Non Abusive
1756,Abusive
12929,Non Abusive
13212,Non Abusive
6270,Non Abusive
22903,Non Abusive
12566,Non Abusive
20926,Non Abusive
25105,Non Abusive
17272,Non Abusive
16777,Non Abusive
9246,Non Abusive
7487,Non Abusive
17954,Non Abusive
8871,Non Abusive
5465,Non Abusive
20187,Non Abusive
13845,Non Abusive
24875,Non Abusive
22784,Non Abusive
19039,Non Abusive
20348,Non Abusive
23355,Non Abusive
263,Abusive
17622,Non Abusive
20317,Non Abusive
13482,Non Abusive
14530,Non Abusive
18998,Non Abusive
19727,Non Abusive
24650,Non Abusive
7541,Non Abusive
8038,Non Abusive
17458,Non Abusive
8720,Non Abusive
4719,Non Abusive
24662,Non Abusive
25499,Non Abusive
4387,Non Abusive
2880,Abusive
9767,Non Abusive
14344,Non Abusive
13801,Non Abusive
5992,Non Abusive
21232,Non Abusive
18773,Non Abusive
2946,Abusive
4717,Non Abusive
269,Abusive
23658,Non Abusive
24543,Non Abusive
2632,Abusive
10991,Non Abusive
23096,Non Abusive
4198,Non Abusive
20696,Non Abusive
10973,Non Abusive
24905,Non Abusive
15131,Non Abusive
3982,Non Abusive
2842,Abusive
8013,Non Abusive
1142,Abusive
23458,Non Abusive
24629,Non Abusive
12068,Non Abusive
19245,Non Abusive
9648,Non Abusive
25078,Non Abusive
16784,Non Abusive
146,Abusive
16135,Non Abusive
2456,Abusive
20892,Non Abusive
9798,Non Abusive
13388,Non Abusive
6520,Non Abusive
817,Abusive
5428,Non Abusive
25103,Non Abusive
8580,Non Abusive
8231,Non Abusive
24496,Non Abusive
11215,Non Abusive
18546,Non Abusive
25291,Non Abusive
15499,Non Abusive
20692,Non Abusive
14034,Non Abusive
21259,Non Abusive
4766,Non Abusive
17100,Non Abusive
18519,Non Abusive
5419,Non Abusive
22782,Non Abusive
7748,Non Abusive
24009,Non Abusive
2950,Abusive
12655,Non Abusive
6360,Non Abusive
8306,Non Abusive
1606,Abusive
14358,Non Abusive
24228,Non Abusive
23957,Non Abusive
12555,Non Abusive
3223,Abusive
7279,Non Abusive
15885,Non Abusive
18573,Non Abusive
5922,Non Abusive
12847,Non Abusive
20814,Non Abusive
12282,Non Abusive
11871,Non Abusive
6689,Non Abusive
5139,Non Abusive
19475,Non Abusive
21780,Non Abusive
15799,Non Abusive
18277,Non Abusive
8276,Non Abusive
13490,Non Abusive
15370,Non Abusive
14796,Non Abusive
18339,Non Abusive
8182,Non Abusive
3155,Abusive
24243,Non Abusive
1395,Abusive
20232,Non Abusive
9704,Non Abusive
19375,Non Abusive
22917,Non Abusive
20458,Non Abusive
18975,Non Abusive
10029,Non Abusive
5738,Non Abusive
11752,Non Abusive
24508,Non Abusive
22457,Non Abusive
345,Abusive
20038,Non Abusive
133,Abusive
24169,Non Abusive
6705,Non Abusive
21744,Non Abusive
10359,Non Abusive
19741,Non Abusive
14610,Non Abusive
1061,Abusive
8700,Non Abusive
4389,Non Abusive
4349,Non Abusive
10580,Non Abusive
25270,Non Abusive
12209,Non Abusive
7772,Non Abusive
25287,Non Abusive
21014,Non Abusive
11422,Non Abusive
14604,Non Abusive
15300,Non Abusive
11398,Non Abusive
2071,Abusive
3789,Non Abusive
12056,Non Abusive
9746,Non Abusive
16436,Non Abusive
9333,Non Abusive
13202,Non Abusive
23871,Non Abusive
9537,Non Abusive
24909,Non Abusive
14863,Non Abusive
8656,Non Abusive
4755,Non Abusive
25714,Non Abusive
15553,Non Abusive
